datetime,open,high,low,close,volume
2026-03-08T22:00:00,1.29785,1.29785,1.2957,1.29645,26
2026-03-08T22:30:00,1.29595,1.29645,1.29575,1.2958,95
2026-03-08T23:00:00,1.29585,1.29585,1.2941,1.29465,73
2026-03-08T23:30:00,1.2947,1.2947,1.2935,1.2935,52
2026-03-09T00:00:00,1.29395,1.29395,1.2932,1.2932,36
2026-03-09T00:30:00,1.293,1.293,1.2927,1.2928,8
2026-03-09T01:00:00,1.2924,1.29265,1.29175,1.2921,30
2026-03-09T01:30:00,1.2923,1.29235,1.2918,1.2918,216
2026-03-09T02:00:00,1.29205,1.29275,1.29195,1.2927,7
2026-03-09T02:30:00,1.2932,1.29375,1.2929,1.2935,11
2026-03-09T03:00:00,1.29365,1.2938,1.29345,1.2938,4
2026-03-09T03:30:00,1.2932,1.29345,1.293,1.29345,3
2026-03-09T04:00:00,1.29375,1.29375,1.29375,1.29375,3
2026-03-09T04:30:00,1.29475,1.29475,1.29475,1.29475,7
2026-03-09T05:00:00,1.29445,1.29745,1.29445,1.29745,16
2026-03-09T05:30:00,1.2961,1.29815,1.2961,1.2978,20
2026-03-09T06:00:00,1.29735,1.29775,1.2957,1.2957,33
2026-03-09T06:30:00,1.2958,1.2959,1.2957,1.2959,3
2026-03-09T07:00:00,1.2957,1.29605,1.2948,1.2955,54
2026-03-09T07:30:00,1.2956,1.29935,1.2955,1.29885,98
2026-03-09T08:00:00,1.29885,1.29905,1.29645,1.29645,66
2026-03-09T08:30:00,1.2963,1.29665,1.29465,1.2952,57
2026-03-09T09:00:00,1.2952,1.29735,1.2951,1.29685,68
2026-03-09T09:30:00,1.29675,1.29865,1.2964,1.2971,202
2026-03-09T10:00:00,1.297,1.2977,1.297,1.29755,29
2026-03-09T10:30:00,1.2978,1.2984,1.2969,1.298,96
2026-03-09T11:00:00,1.29815,1.2985,1.29725,1.29725,33
2026-03-09T11:30:00,1.2971,1.29805,1.2968,1.2969,21
2026-03-09T12:00:00,1.29745,1.2979,1.2971,1.2975,85
2026-03-09T12:30:00,1.2975,1.2977,1.29615,1.29615,39
2026-03-09T13:00:00,1.29635,1.29815,1.29635,1.29795,57
2026-03-09T13:30:00,1.29855,1.299,1.29685,1.29735,263
2026-03-09T14:00:00,1.29685,1.2975,1.2946,1.2974,123
2026-03-09T14:30:00,1.29765,1.29785,1.2968,1.2973,53
2026-03-09T15:00:00,1.2974,1.29865,1.2973,1.29815,121
2026-03-09T15:30:00,1.2982,1.29855,1.2978,1.2979,95
2026-03-09T16:00:00,1.29815,1.299,1.29695,1.29765,139
2026-03-09T16:30:00,1.2975,1.29835,1.29745,1.29745,21
2026-03-09T17:00:00,1.2975,1.2975,1.29605,1.2965,257
2026-03-09T17:30:00,1.29645,1.29645,1.296,1.296,11
2026-03-09T18:00:00,1.2962,1.29635,1.2959,1.29605,26
2026-03-09T18:30:00,1.2961,1.2961,1.2953,1.29535,88
2026-03-09T19:00:00,1.2953,1.2994,1.2953,1.299,126
2026-03-09T19:30:00,1.2989,1.3006,1.298,1.29885,188
2026-03-09T20:00:00,1.29895,1.2994,1.29885,1.2994,24
2026-03-09T20:30:00,1.30005,1.3005,1.29985,1.3005,6
2026-03-09T22:00:00,1.29965,1.30085,1.29935,1.30025,50
2026-03-09T22:30:00,1.2999,1.3003,1.2996,1.29995,31
2026-03-09T23:00:00,1.30015,1.30015,1.2997,1.30015,17
2026-03-09T23:30:00,1.30005,1.30005,1.2989,1.2989,12
2026-03-10T00:00:00,1.299,1.30035,1.29885,1.3003,29
2026-03-10T00:30:00,1.3003,1.30115,1.2998,1.30035,52
2026-03-10T01:00:00,1.30015,1.30055,1.2991,1.29915,64
2026-03-10T01:30:00,1.299,1.3,1.299,1.3,10
2026-03-10T02:00:00,1.3,1.30055,1.3,1.3004,11
2026-03-10T02:30:00,1.3005,1.3007,1.29995,1.30005,37
2026-03-10T03:00:00,1.29975,1.29975,1.29925,1.29925,15
2026-03-10T03:30:00,1.29915,1.29915,1.2988,1.29895,21
2026-03-10T04:00:00,1.2986,1.2988,1.29855,1.2988,11
2026-03-10T04:30:00,1.29855,1.2988,1.29855,1.2988,3
2026-03-10T05:00:00,1.2993,1.2996,1.2993,1.2996,24
2026-03-10T05:30:00,1.2994,1.2995,1.2994,1.2995,4
2026-03-10T06:00:00,1.2997,1.30055,1.2997,1.30025,14
2026-03-10T06:30:00,1.301,1.30105,1.30025,1.30055,17
2026-03-10T07:00:00,1.3004,1.3023,1.3003,1.30225,79
2026-03-10T07:30:00,1.30215,1.30285,1.30135,1.30285,98
2026-03-10T08:00:00,1.3027,1.3033,1.30185,1.30275,234
2026-03-10T08:30:00,1.3026,1.3031,1.3017,1.30185,99
2026-03-10T09:00:00,1.30165,1.3036,1.30165,1.30295,103
2026-03-10T09:30:00,1.30315,1.30365,1.30285,1.30315,47
2026-03-10T10:00:00,1.30295,1.30295,1.3016,1.30185,124
2026-03-10T10:30:00,1.30185,1.30185,1.29985,1.30155,130
2026-03-10T11:00:00,1.3016,1.30325,1.30155,1.3028,212
2026-03-10T11:30:00,1.3024,1.30305,1.3021,1.30235,39
